OID_,SUB_DRAINA,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN
160,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,2004-01-01 0:00:00,2005-01-01 0:00:00,137.649891118393015
161,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,2005-01-01 0:00:00,2006-01-01 0:00:00,93.239414334970192
162,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,2005-01-01 0:00:00,2006-01-01 0:00:00,171.290690384839934
163,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,2005-01-01 0:00:00,2006-01-01 0:00:00,118.108457749934161
164,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,2005-01-01 0:00:00,2006-01-01 0:00:00,94.445708790304238
165,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,2005-01-01 0:00:00,2006-01-01 0:00:00,237.979487971154867
166,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,2005-01-01 0:00:00,2006-01-01 0:00:00,142.190216241362464
167,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,2005-01-01 0:00:00,2006-01-01 0:00:00,201.443744860983315
168,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,2005-01-01 0:00:00,2006-01-01 0:00:00,76.978425199849340
169,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,2006-01-01 0:00:00,2007-01-01 0:00:00,76.002793085249039
170,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,2006-01-01 0:00:00,2007-01-01 0:00:00,137.091771632390021
171,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,2006-01-01 0:00:00,2007-01-01 0:00:00,124.955414537893077
172,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,2006-01-01 0:00:00,2007-01-01 0:00:00,90.338272408206635
173,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,2006-01-01 0:00:00,2007-01-01 0:00:00,278.864730579226034
174,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,2006-01-01 0:00:00,2007-01-01 0:00:00,85.647671402578553
