OID_,VALUE,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN
1561,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-15 12:00:00,6.846831850636551
1562,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-15 12:00:00,6.421773267719288
1563,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-15 12:00:00,5.318574216735108
1564,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-15 12:00:00,5.371229162322978
1565,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-15 12:00:00,2.979141948750233
1566,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-15 12:00:00,7.811255493237906
1567,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-15 12:00:00,4.285515844174861
1568,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-15 12:00:00,5.054130942748143
1569,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-16 12:00:00,4.743918804931531
1570,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-16 12:00:00,6.571088413361852
1571,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-16 12:00:00,6.731327837620919
1572,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-16 12:00:00,3.812747050360581
1573,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-16 12:00:00,4.184062013256304
1574,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-16 12:00:00,7.609353966153409
1575,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-16 12:00:00,4.596250671028598
1576,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-16 12:00:00,6.517557545056568
1577,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-17 12:00:00,7.331650563850548
1578,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-17 12:00:00,7.487610404746355
1579,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-17 12:00:00,7.551565819505297
1580,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-07-17 12:00:00,5.961065534301838
1581,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-07-17 12:00:00,6.476859737160980
1582,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-07-17 12:00:00,9.612041674568264
1583,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-07-17 12:00:00,7.968241376268439
1584,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-07-17 12:00:00,7.212082013954076
1585,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-07-18 12:00:00,7.600502604001545
1586,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-07-18 12:00:00,6.616343942145882
1587,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-07-18 12:00:00,6.160979283928827
