"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"101","Stewart",1994,4.70296835309665,5.99032063328185,7.62227577355293,3.14254401919543,4.80560391698062,7.47764235268296
"102","Teslin",1994,13.9831797292496,17.2182778175743,21.3108854994597,12.8371604084314,16.0624110812594,20.236008934463
"103","Upper Lakes and Mainstem",1994,7.18778027636167,8.79552212624857,10.9457887662238,4.53111783951674,5.62880366992729,7.07342526560936
"104","White-Donjek",1994,9.07903516726953,11.1358725944771,13.8833622433386,2.97315766265512,4.15603583438622,5.71875462392572
"105","Carmacks",1995,12.4987090530873,15.5118252595772,19.5796825326778,6.06820318435251,7.31650588244515,9.02137897010406
"106","Lower Mainstem",1995,23.1836536059199,28.3016875338684,35.2155766395338,1.24849130164734,1.95706917264368,2.97371123797596
"107","Middle Mainstem",1995,19.0198740480414,23.3758593722189,29.3015831417964,1.42213265888849,1.88560133197035,2.58394872676502
"108","Pelly",1995,19.0918213596947,23.3917277587378,28.8061072570405,6.19525657454653,8.07476882723086,10.478795581174
"109","Stewart",1995,7.60181578309399,9.65008864132289,12.5588128782371,6.4733405988976,8.25082870061533,10.586526323543
"110","Teslin",1995,15.6514276308913,19.2438901432476,23.8385783976216,4.96832075826288,6.31410388932361,8.11092743686151
"111","Upper Lakes and Mainstem",1995,11.1818034677231,13.5586532703512,16.9360038662287,0.722344720468725,1.11270584816555,1.60071041549954
"112","White-Donjek",1995,9.58842345851935,11.8155824184773,14.7258461578007,4.85854772169959,6.00897859295218,7.31568473385607
"113","Carmacks",1996,12.8501924010463,15.7992460539619,19.3007938026886,3.76891025276824,5.02876140704041,6.78077935458496
"114","Lower Mainstem",1996,14.6065794459832,18.2958874539717,22.6165370520219,4.44912417789133,5.54078699220818,6.94136116430823
"115","Middle Mainstem",1996,9.06928572670326,11.218874166298,14.0976169698282,2.08018603261555,2.99103439672935,4.34492389976016
"116","Pelly",1996,11.2673652346752,14.0400202567238,17.3701736621373,3.92094089720874,5.16210677992021,6.83793854979187
"117","Stewart",1996,5.01389822594877,6.46714394661741,8.34086349519555,1.4191090408696,2.13666506007469,3.36323491935758
"118","Teslin",1996,18.5733677914054,22.4300728420478,27.809149956258,4.31877717114464,5.76152825504759,7.43925086574265
"119","Upper Lakes and Mainstem",1996,6.30898732801684,7.84963134083226,9.67265981195003,3.39324145955183,4.2188083948617,5.31875567957659
"120","White-Donjek",1996,7.81365159869324,9.88484850401766,12.4257020229682,2.28125493035841,3.27571314512436,4.71880222165764
"121","Carmacks",1997,10.4203281302825,12.9157019727663,15.7601679080283,4.33855123009197,5.46442148115807,7.18549619525774
"122","Lower Mainstem",1997,6.71249705072989,8.60890543387917,11.113024719404,5.46397135845385,6.62226870726895,7.95366313407792
"123","Middle Mainstem",1997,7.80995811311649,9.59608164793263,11.8720137955385,5.87158752899485,7.20794145327345,8.7360966384936
"124","Pelly",1997,13.4148609641681,16.6170444159743,20.8673879815829,4.60927479533922,5.84990880280009,7.40003607611113
"125","Stewart",1997,8.58344970039292,11.2592043984988,14.2462740739596,1.42195514763861,2.2769495179214,3.51614647559858
"126","Teslin",1997,18.8344465050757,22.8536143490614,27.9627756466988,5.21210814826699,6.56793872804325,8.29202370006171
"127","Upper Lakes and Mainstem",1997,3.95837734661255,4.87402568627528,6.05999095538437,3.11372573354886,3.82356436245835,4.65007365771351
"128","White-Donjek",1997,7.34731170224995,9.79966116948498,13.0449681881541,3.51116010103835,4.66932885386541,6.21625278158679
"129","Carmacks",1998,10.6817546705389,13.2247207832347,16.4436058632553,2.76601541821802,4.0390508896519,6.01617884043468
"130","Lower Mainstem",1998,4.08983309745804,5.1003927201037,6.41621367447718,5.20158553205566,7.26325848985738,10.0269487275996
"131","Middle Mainstem",1998,7.71314075579826,9.37463016393615,11.5519391579825,20.5940302769769,27.0035723594864,34.9479191639385
"132","Pelly",1998,19.6228147140742,24.1353238409114,29.6141742115704,5.55301490926512,7.52524536558435,10.3504944729588
"133","Stewart",1998,12.52024260162,15.7983970337604,19.9827155550899,2.55652666049846,3.73435848228808,5.43845323248763
"134","Teslin",1998,22.1931999106455,26.8807353065783,32.8995312189304,15.1647084952868,19.3717591664641,24.3828361192517
"135","Upper Lakes and Mainstem",1998,3.45592303465055,4.4732545688278,6.4395927018855,7.35434151101515,10.909013708037,15.3494889040064
"136","White-Donjek",1998,10.9995060622542,14.2369123324192,18.1369011537706,3.42029755441775,4.91548859757662,7.13569912323326
"137","Carmacks",1999,6.4915890702921,8.1361790868115,10.5500390976655,3.56693657516593,4.86527482099331,6.79759518075743
"138","Lower Mainstem",1999,2.97839289527768,3.85532183067146,5.08354567297446,6.77940649856361,8.26663202412639,10.1775218564296
"139","Middle Mainstem",1999,6.79740157456989,8.24072763994858,10.2479349629194,12.8890592834499,15.6597620482163,19.0429693456801
"140","Pelly",1999,9.25859310735143,11.7560896262409,14.8042240898987,4.06313598818729,5.28300789416476,7.0329882826395
"141","Stewart",1999,5.14412558090481,6.78460379170054,8.69473010539394,1.92238555932302,2.79700674453459,4.10688603414192
"142","Teslin",1999,13.1028030831663,16.2984092740394,20.2572466960176,8.17774009431554,10.5061637739602,13.3396740973486
